losses,metrics,optimizers,actovatons1,actovatons2,acc,ture_acc
'categorical_hinge', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.978450176617,0.8585
'categorical_hinge', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.957833379507,0.9598
'categorical_hinge', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.945666698118,0.9508
'poisson', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993391839166,0.9683
'poisson', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.991741841038,0.9523
'poisson', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.967500040929,0.9674
'poisson', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.957666705052,0.9519
'categorical_crossentropy', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993541826804,0.9696
'categorical_crossentropy', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.991841850181,0.9527
'categorical_crossentropy', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.964333355427,0.9735
'categorical_crossentropy', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.960166707635,0.9533
'categorical_hinge', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.99147515744,0.9572
'categorical_hinge', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.976525175075,0.8513
'categorical_hinge', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.958166696131,0.9597
'categorical_hinge', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.859000032147,0.8565
'poisson', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993350165586,0.9692
'poisson', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.991975175838,0.9527
'poisson', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.965666708847,0.9688
'poisson', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.958000041544,0.955
'categorical_crossentropy', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993225152294,0.9656
'categorical_crossentropy', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.991475174824,0.9572
'categorical_crossentropy', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.9667500332,0.9702
'categorical_crossentropy', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.959583379328,0.9575
'categorical_hinge', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.992225165168,0.9581
